provider,channel name,provider epg_channel_id,guide source,guide channel id,confidence
P1,UK: BBC ONE LONDON 4K ◉,BBCOneOxford.uk,freeview,BBCOneLondonHD.uk,high
P1,UK: BBC 1 HD ◉,bbc1.uk,freeview,BBCOneLondonHD.uk,medium
P1,UK: BBC 2 HD ◉,BBC2.uk,freeview,BBCTwoHD.uk,high
P1,UK: BBC 3 / CBBC HD ◉,TS,freeview,BBCThreeHD.uk,low
P1,UK: BBC 4 / CBEEBIES 4K ◉,BBC4.uk,freeview,BBCFourHD.uk,low
P1,UK: ITV 1 HD ◉,ITV1.uk,freeview,ITV1London.uk,medium
P1,UK: ITV 1 4K ◉,,freeview,ITV1London.uk,medium
P1,UK: ITV 1 +1 ◉,ITV1.uk,freeview,ITV1Plus1London.uk,medium
P1,UK: ITV 2 HD ◉,itv2.uk,freeview,ITV2.uk,high
P1,UK: ITV 2 4K ◉,ITV2.uk,freeview,ITV2.uk,high
P1,UK: ITV 3 HD ◉,ITV3.uk,freeview,ITV3.uk,high
P1,UK: ITV 4 HD ◉,ITV4.uk,freeview,ITV4.uk,high
P1,UK: ITV BE HD ◉,ITVBe.uk,,,none
P1,UK: CHANNEL 4 4K ◉,,freeview,Channel4London.uk,medium
P1,UK: CHANNEL 5 4K ◉,Channel5.uk,freeview,5.uk,high
P1,UK: E4 4K ◉,E4.uk,freeview,E4.uk,high
P1,UK: E4 +1 ◉,E4.uk,freeview,E4Plus1.uk,high
P1,UK: 4SEVEN ◉,4Seven.uk,freeview,4seven.uk,high
P1,UK: CBBC 4K ◉,BBC1.uk,freeview,CBBC.uk,high
P1,UK: ALIBI 4K ◉,Alibi.uk,epgshare,U.and.alibi.HD.uk,high
P1,UK: BBC 1 4K ◉,bbc1.uk,freeview,BBCOneLondonHD.uk,medium
P1,UK: BBC 2 4K ◉,BBC2.uk,freeview,BBCTwoHD.uk,high
P1,UK: BBC 3 4K ◉,TS,freeview,BBCThreeHD.uk,high
P1,UK: BBC 4 ◉,BBC4.uk,freeview,BBCFourHD.uk,high
P1,UK: ITV 1 ◉,ITV1.uk,freeview,ITV1London.uk,medium
P1,UK: ITV 2 ◉,itv2.uk,freeview,ITV2.uk,high
P1,UK: ITV 2+1 ◉,ITV2.uk,freeview,ITV2Plus1.uk,high
P1,UK: ITV 3 4K ◉,ITV3.uk,freeview,ITV3.uk,high
P1,UK: ITV 3+1 ◉,ITV3.uk,freeview,ITV3Plus1.uk,high
P1,UK: ITV 4 4K ◉,ITV4.uk,freeview,ITV4.uk,high
P1,UK: ITV 4+1 ◉,ITV4.uk,freeview,ITV4Plus1.uk,high
P1,UK : ITV QUIZ 4K,itvquiz.uk,freeview,ITVQuiz.uk,high
